Work_Profile_ID,Scenario_ID,BU_1_Distribution,BU_2_Distribution,BU_3_Distribution,BU_4_Distribution,BU_5_Distribution,BU_6_Distribution,BU_7_Distribution,BU_8_Distribution,BU_9_Distribution,BU_10_Distribution
Work_Profile_1,Scenario_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Work_Profile_2,Scenario_1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Work_Profile_3,Scenario_1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Work_Profile_4,Scenario_1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Work_Profile_5,Scenario_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Work_Profile_1,Scenario_2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Work_Profile_2,Scenario_2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Work_Profile_3,Scenario_2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Work_Profile_4,Scenario_2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Work_Profile_5,Scenario_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Work_Profile_1,Scenario_3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Work_Profile_2,Scenario_3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Work_Profile_3,Scenario_3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Work_Profile_4,Scenario_3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Work_Profile_5,Scenario_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Work_Profile_1,Scenario_4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Work_Profile_2,Scenario_4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Work_Profile_3,Scenario_4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Work_Profile_4,Scenario_4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Work_Profile_5,Scenario_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Work_Profile_1,Scenario_5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Work_Profile_2,Scenario_5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Work_Profile_3,Scenario_5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Work_Profile_4,Scenario_5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Work_Profile_5,Scenario_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
